"","labID","genos","missing"
"1","z0006796",151,34
"2","z0006797",43,142
"3","z0006798",167,18
"4","z0006799",171,14
"5","z0006799b",150,35
"6","z0006800",162,23
"7","z0006801",152,33
"8","z0006802",174,11
"9","z0006802b",154,31
"10","z0006803",153,32
"11","z0006803b",124,61
"12","z0006805",167,18
"13","z0012480",142,43
"14","z0012480b",119,66
"15","z0012481",155,30
"16","z0012481b",153,32
"17","z0012482",155,30
"18","z0012483",164,21
"19","z0012484",151,34
"20","z0012485",169,16
"21","z0012486",154,31
"22","z0012488",147,38
"23","z0012489",140,45
"24","z0012489b",168,17
"25","z0012490",118,67
"26","z0012491",166,19
"27","z0012492",159,26
"28","z0012492b",162,23
"29","z0012493",146,39
"30","z0012494",154,31
"31","z0012496b",145,40
"32","z0012497",172,13
"33","z0012499",168,17
"34","z0012500",133,52
"35","z0012500b",150,35
"36","z0012502",94,91
"37","z0012503",154,31
"38","z0012504",172,13
"39","z0012505",134,51
"40","z0012509",147,38
"41","z0012509b",153,32
"42","z0012509c",158,27
"43","z0012511",153,32
"44","z0012514",166,19
"45","z0012514b",161,24
"46","z0012515",134,51
"47","z0012517",148,37
"48","z0012519",151,34
"49","z0012519b",141,44
"50","z0012520",120,65
"51","z0012520b",153,32
"52","z0012521",162,23
"53","z0012521b",155,30
"54","z0012522",152,33
"55","z0012523",141,44
"56","z0012524",146,39
"57","z0012525",152,33
"58","z0012526",1,184
"59","z0012527",175,10
"60","z0012527b",130,55
"61","z0012528",155,30
"62","z0016882",135,50
"63","z0016883",171,14
"64","z0016884",152,33
"65","z0016884b",158,27
"66","z0016885",153,32
"67","z0016886",136,49
"68","z0016887",138,47
"69","z0016888",146,39
"70","z0026450",144,41
"71","z0026450b",158,27
"72","z0026451",141,44
"73","z0026451b",128,57
"74","z0026452",140,45
"75","z0026452b",124,61
"76","z0026456",141,44
"77","z0026457",143,42
"78","z0026457b",153,32
"79","z0026458",139,46
"80","z0032021",171,14
"81","z0032021b",131,54
"82","z0032022",104,81
"83","z0032023",135,50
"84","z0032024",157,28
"85","z0032030",79,106
"86","z0032031",151,34
"87","z0035352",175,10
"88","z0037412",180,5
"89","z0037417",154,31
"90","z0037418",151,34
"91","z0037419",161,24
"92","z0037419b",131,54
"93","z0037422",162,23
"94","z0037463",173,12
"95","z0037464",166,19
"96","z0037466",162,23
"97","z0037467",147,38
"98","z0037468",157,28
"99","z0037471",159,26
"100","z0040942",172,13
"101","z0040943",140,45
"102","z0040945",167,18
"103","z0061457",158,27
"104","z0061464",168,17
"105","z0061467",144,41
"106","z0061467b",153,32
"107","z0061468",146,39
"108","z0062622",173,12
"109","z0062622b",145,40
"110","z0062627",165,20
"111","z0062627b",135,50
"112","z0062630",160,25
"113","z0062630b",138,47
"114","z0062634",139,46
"115","z0062634b",140,45
"116","z0062636",147,38
"117","z0062636b",114,71
"118","z0062680",150,35
"119","z0062680b",121,64
"120","z0062681",173,12
"121","z0062687",163,22
"122","z0062687b",136,49
"123","z0062737",156,29
"124","z0062742",148,37
"125","z0062742b",144,41
"126","z0062743",176,9
"127","z0062743b",150,35
"128","z0062752",175,10
"129","z0062752b",163,22
"130","z0062761",156,29
"131","z0062761b",164,21
"132","z0062766",162,23
"133","z0062766b",151,34
"134","z0062787",160,25
"135","z0062787b",136,49
"136","z0076691",172,13
"137","z0076691b",160,25
"138","z0076693",173,12
"139","z0076695",167,18
"140","z0076695b",161,24
"141","z0076697",167,18
"142","z0076697b",159,26
"143","z0076699",163,22
"144","z0076701",155,30
"145","z0076703",151,34
"146","z0076705",152,33
"147","z0076707",164,21
"148","z0076709",164,21
"149","z0076711",159,26
"150","z0076713",152,33
"151","z0076715",157,28
"152","z0102589",165,20
"153","z0102605",158,27
"154","z0102605b",139,46
"155","z0102610",166,19
"156","z0102610b",150,35
"157","z0102616",170,15
"158","z0102682",133,52
"159","z0117088",106,79
"160","z0117088b",107,78
"161","z0117094",128,57
"162","z0117103",137,48
"163","z0117103b",91,94
"164","z0134055",145,40
"165","z0134059",142,43
"166","z0134061",132,53
"167","z0134064",91,94
"168","z0134066",125,60
"169","z0134070",157,28
"170","z0134070b",158,27
"171","z0134074",160,25
"172","z0134074b",152,33
"173","z0134087",132,53
"174","z0134095",120,65
"175","z0134097",141,44
"176","z0134098",136,49
"177","z0134098b",137,48
"178","z0134101",162,23
"179","z0134108",135,50
"180","z0134108b",122,63
"181","z0134109",154,31
"182","z0134111",146,39
"183","z0134112",179,6
"184","z0134112b",160,25
"185","z0134113",159,26
"186","z0134113b",150,35
"187","z0178009",177,8
"188","z0178011",177,8
"189","z0178014",176,9
"190","z0207730",177,8
"191","z0207745",173,12
"192","z0210588",178,7
"193","z0216904",177,8
"194","z0216906",169,16
"195","z0216907",120,65
"196","z0216908",52,133
"197","z0216910",72,113
"198","z0216911",8,177
"199","z0216912",1,184
"200","z0216913",134,51
"201","z0216914",55,130
"202","z0216915",29,156
"203","z0216916",38,147
"204","z0216917",14,171
"205","z0216918",157,28
"206","z0216919",1,184
"207","z0216920",74,111
"208","z0216921",39,146
"209","z0216922",12,173
"210","z0216924",79,106
"211","z0216926",121,64
"212","z0216927",133,52
"213","z0216928",176,9
"214","z0216929",30,155
"215","z0216930",175,10
"216","z0216931",148,37
